"id","vehicle_id","trip_id","timestamp","latitude","longitude","bearing","origin","destination","route_name","direction","operator"
23974135,"4716","1107","2026-01-26 17:06:36",53.407811,-2.983948,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23974924,"4716","1107","2026-01-26 17:06:57",53.407515,-2.983643,107,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23976116,"4716","1107","2026-01-26 17:07:28",53.407451,-2.982858,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23977296,"4716","1107","2026-01-26 17:08:01",53.407441,-2.982818,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23978860,"4716","1107","2026-01-26 17:08:34",53.407441,-2.982818,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23980032,"4716","1107","2026-01-26 17:09:07",53.407445,-2.982803,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23981204,"4716","1107","2026-01-26 17:09:40",53.407445,-2.982803,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23982388,"4716","1107","2026-01-26 17:10:14",53.407515,-2.982133,33,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23982776,"4716","1107","2026-01-26 17:10:23",53.407583,-2.982025,50,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23983543,"4716","1107","2026-01-26 17:10:52",53.407583,-2.982025,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23983928,"4716","1107","2026-01-26 17:11:02",53.407583,-2.982025,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23984313,"4716","1107","2026-01-26 17:11:09",53.407583,-2.982025,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23984698,"4716","1107","2026-01-26 17:11:18",53.407583,-2.982025,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23985085,"4716","1107","2026-01-26 17:11:25",53.407583,-2.982025,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23986246,"4716","1107","2026-01-26 17:11:59",53.407788,-2.981343,45,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23986631,"4716","1107","2026-01-26 17:12:03",53.40792,-2.981141,53,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23987786,"4716","1107","2026-01-26 17:12:36",53.407901,-2.980683,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23988947,"4716","1107","2026-01-26 17:13:09",53.407823,-2.980361,120,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23990124,"4716","1107","2026-01-26 17:13:42",53.408305,-2.979098,13,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23991689,"4716","1107","2026-01-26 17:14:15",53.408808,-2.97875,9,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23992869,"4716","1107","2026-01-26 17:14:48",53.409336,-2.977541,93,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23994055,"4716","1107","2026-01-26 17:15:21",53.409358,-2.975833,95,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23995245,"4716","1107","2026-01-26 17:15:54",53.409285,-2.975666,112,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23996423,"4716","1107","2026-01-26 17:16:16",53.409263,-2.973705,96,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23996813,"4716","1107","2026-01-26 17:16:28",53.409206,-2.973243,96,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23997202,"4716","1107","2026-01-26 17:16:38",53.409206,-2.973243,96,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23998380,"4716","1107","2026-01-26 17:17:08",53.4092,-2.97323,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23998774,"4716","1107","2026-01-26 17:17:19",53.4092,-2.97323,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23999168,"4716","1107","2026-01-26 17:17:27",53.4092,-2.97323,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23999954,"4716","1107","2026-01-26 17:17:47",53.409146,-2.972475,96,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24000744,"4716","1107","2026-01-26 17:18:05",53.4091,-2.972268,104,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24001936,"4716","1107","2026-01-26 17:18:38",53.409048,-2.970693,73,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24003126,"4716","1107","2026-01-26 17:19:11",53.409048,-2.970693,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24003915,"4716","1107","2026-01-26 17:19:34",53.409681,-2.970683,47,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24004706,"4716","1107","2026-01-26 17:19:50",53.409933,-2.970073,86,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
