ID,ais_pos_timestamp,longitude,latitude
1,20/03/2021 00:22,32.32925,31.4386
1,20/03/2021 01:25,32.3986,31.40955
1,20/03/2021 02:07,32.37395,31.32413
1,20/03/2021 02:33,32.35152,31.24716
1,20/03/2021 02:53,32.33933,31.2059
1,20/03/2021 04:07,32.31003,31.04119
1,20/03/2021 04:27,32.31184,30.9917
1,20/03/2021 04:47,32.31362,30.94253
1,20/03/2021 05:07,32.31512,30.90058
1,20/03/2021 06:48,32.33386,30.65699
1,20/03/2021 07:35,32.30417,30.56625
1,20/03/2021 09:01,32.37174,30.35689
1,20/03/2021 09:21,32.4128,30.30963
1,20/03/2021 09:21,32.41403,30.30817
1,20/03/2021 09:36,32.44186,30.27946
1,20/03/2021 09:42,32.45562,30.27468
1,20/03/2021 09:52,32.4844,30.26652
1,20/03/2021 10:03,32.51412,30.25786
1,20/03/2021 10:08,32.52943,30.25235
1,20/03/2021 10:23,32.55369,30.22144
1,20/03/2021 10:25,32.55644,30.21726
1,20/03/2021 10:40,32.56898,30.18063
1,20/03/2021 10:44,32.56909,30.17278
1,20/03/2021 10:56,32.56998,30.14227
1,20/03/2021 11:04,32.5704,30.12264
1,20/03/2021 11:11,32.57085,30.10439
1,20/03/2021 11:25,32.57153,30.07127
1,20/03/2021 11:26,32.57184,30.06685
1,20/03/2021 11:41,32.57745,30.0302
1,20/03/2021 11:46,32.57942,30.01977
1,20/03/2021 11:57,32.58409,29.99404
1,20/03/2021 12:06,32.5869,29.9725
1,20/03/2021 12:12,32.58496,29.96083
1,20/03/2021 12:27,32.56583,29.93438
1,20/03/2021 12:27,32.56558,29.93417
1,20/03/2021 12:42,32.54618,29.90818
1,20/03/2021 12:48,32.54652,29.89709
1,20/03/2021 13:08,32.54414,29.82953
2,21/03/2021 04:38,32.59446,31.74439
2,21/03/2021 04:40,32.59453,31.74094
2,21/03/2021 04:46,32.59174,31.71749
2,21/03/2021 05:07,32.52149,31.6769
2,21/03/2021 05:13,32.50094,31.66602
2,21/03/2021 05:28,32.44993,31.63945
2,21/03/2021 05:32,32.43743,31.63282
2,21/03/2021 05:35,32.42715,31.62737
2,21/03/2021 05:48,32.38232,31.60366
2,21/03/2021 05:49,32.37776,31.60121
2,21/03/2021 06:00,32.34802,31.5764
2,21/03/2021 06:06,32.35609,31.56148
2,21/03/2021 06:09,32.36134,31.55256
2,21/03/2021 06:16,32.37313,31.53379
2,21/03/2021 06:22,32.38527,31.51787
2,21/03/2021 06:30,32.40148,31.4944
2,21/03/2021 06:34,32.40869,31.48311
2,21/03/2021 06:51,32.41764,31.44494
2,21/03/2021 06:53,32.41774,31.44023
2,21/03/2021 07:08,32.41688,31.40461
2,21/03/2021 07:10,32.41613,31.4007
2,21/03/2021 07:11,32.41459,31.39781
2,21/03/2021 07:32,32.38932,31.34527
2,21/03/2021 07:47,32.37451,31.31036
2,21/03/2021 07:47,32.37451,31.31036
2,21/03/2021 07:52,32.37163,31.29536
2,21/03/2021 08:02,32.36632,31.26764
2,21/03/2021 08:04,32.36566,31.26371
2,21/03/2021 08:13,32.36163,31.24288
2,21/03/2021 08:14,32.36092,31.23999
2,21/03/2021 08:18,32.35869,31.23174
2,21/03/2021 08:19,32.35821,31.23002
2,21/03/2021 08:29,32.35469,31.2176
2,21/03/2021 08:34,32.35425,31.21444
2,21/03/2021 08:34,32.35427,31.2143
2,21/03/2021 08:37,32.35461,31.21359
2,21/03/2021 08:45,32.35562,31.21244
2,21/03/2021 08:50,32.35565,31.21245
2,21/03/2021 08:52,32.35563,31.21246
2,21/03/2021 08:54,32.35565,31.21246
2,21/03/2021 09:00,32.35567,31.21249
2,21/03/2021 09:05,32.35567,31.21249
2,21/03/2021 09:07,32.35567,31.21249
2,21/03/2021 09:15,32.35567,31.21249
2,21/03/2021 09:18,32.35567,31.21248
2,21/03/2021 09:27,32.35567,31.21248
2,21/03/2021 09:36,32.35567,31.21249
2,21/03/2021 09:45,32.35567,31.21248
2,21/03/2021 09:48,32.35567,31.21248
2,21/03/2021 09:54,32.35566,31.21248
2,21/03/2021 09:57,32.35565,31.21248
2,21/03/2021 10:03,32.35566,31.21248
2,21/03/2021 10:06,32.35566,31.21248
2,21/03/2021 10:12,32.35566,31.21249
2,21/03/2021 10:17,32.35566,31.21249
2,21/03/2021 10:18,32.35566,31.21249
2,21/03/2021 10:24,32.35566,31.21249
2,21/03/2021 10:30,32.35567,31.21249
2,21/03/2021 10:36,32.35567,31.21249
2,21/03/2021 10:39,32.35567,31.21249
2,21/03/2021 10:42,32.35567,31.21249
2,21/03/2021 10:48,32.35567,31.21249
2,21/03/2021 10:54,32.35567,31.21249
2,21/03/2021 11:00,32.35567,31.21249
2,21/03/2021 11:06,32.35567,31.21249
2,21/03/2021 11:12,32.35567,31.21249
2,21/03/2021 11:21,32.35566,31.21248
2,21/03/2021 11:24,32.35568,31.21248
2,21/03/2021 11:30,32.35566,31.21249
2,21/03/2021 11:42,32.35566,31.2125
2,21/03/2021 11:42,32.35566,31.2125
2,21/03/2021 11:57,32.35565,31.21247
2,21/03/2021 11:57,32.35565,31.21247
2,21/03/2021 12:03,32.35566,31.21249
2,21/03/2021 12:18,32.35566,31.21249
2,21/03/2021 12:24,32.35566,31.21248
2,21/03/2021 12:30,32.35566,31.21248
2,21/03/2021 12:36,32.35566,31.21249
2,21/03/2021 12:45,32.35566,31.21248
2,21/03/2021 12:51,32.35567,31.21248
2,21/03/2021 12:57,32.35567,31.21248
2,21/03/2021 13:05,32.35567,31.21248
2,21/03/2021 13:08,32.35567,31.21248
2,21/03/2021 13:09,32.35567,31.21248
2,21/03/2021 13:15,32.35567,31.21249
2,21/03/2021 13:24,32.35567,31.21247
2,21/03/2021 13:27,32.35566,31.21248
2,21/03/2021 13:33,32.35567,31.21248
2,21/03/2021 13:42,32.35567,31.21249
2,21/03/2021 13:51,32.35567,31.21249
2,21/03/2021 13:51,32.35567,31.21249
2,21/03/2021 13:58,32.35563,31.21241
2,21/03/2021 14:08,32.35566,31.21246
2,21/03/2021 14:14,32.35549,31.21228
2,21/03/2021 14:23,32.35567,31.21248
2,21/03/2021 14:35,32.35567,31.21248
2,21/03/2021 14:41,32.35567,31.21249
2,21/03/2021 15:00,32.35567,31.21249
2,21/03/2021 15:11,32.35567,31.21249
2,21/03/2021 15:11,32.35567,31.21249
2,21/03/2021 15:26,32.35567,31.21249
2,21/03/2021 15:29,32.35567,31.21249
2,21/03/2021 15:44,32.35567,31.21248
2,21/03/2021 15:53,32.35567,31.21248
2,21/03/2021 16:06,32.35567,31.21249
2,21/03/2021 16:08,32.35566,31.21248
2,21/03/2021 16:17,32.35567,31.21248
2,21/03/2021 16:26,32.35566,31.21248
2,21/03/2021 23:11,32.35566,31.21247
2,22/03/2021 14:07,32.3492,31.48463
2,22/03/2021 14:35,32.22823,31.53983
2,22/03/2021 14:40,32.21117,31.55416
2,22/03/2021 14:56,32.15481,31.60092
2,22/03/2021 14:56,32.15481,31.60092
2,22/03/2021 15:12,32.09836,31.64786
2,22/03/2021 15:17,32.08069,31.66382
2,22/03/2021 15:27,32.04627,31.69521
2,22/03/2021 15:27,32.04554,31.69589
2,22/03/2021 15:28,32.04322,31.69804
2,22/03/2021 15:38,32.01099,31.72774
3,23/03/2021 15:41,32.2491,31.49509
3,23/03/2021 15:42,32.25111,31.49366
3,23/03/2021 15:44,32.25984,31.48754
3,24/03/2021 04:15,32.33329,31.42786
3,24/03/2021 05:18,32.33329,31.42769
3,24/03/2021 05:42,32.33327,31.42793
3,24/03/2021 06:24,32.33325,31.42807
4,23/03/2021 22:23,32.32784,31.39436
4,23/03/2021 22:44,32.32793,31.39497
4,23/03/2021 23:05,32.32779,31.39496
4,23/03/2021 23:32,32.32793,31.39499
4,23/03/2021 23:38,32.32795,31.39497
4,23/03/2021 23:56,32.32791,31.39534
4,24/03/2021 00:33,32.32794,31.39529
4,24/03/2021 00:54,32.3279,31.39546
4,24/03/2021 01:18,32.32791,31.3954
4,24/03/2021 01:45,32.32791,31.39528
4,24/03/2021 02:21,32.32787,31.39496
4,24/03/2021 02:42,32.32793,31.39517
4,24/03/2021 03:04,32.32794,31.39525
4,24/03/2021 03:31,32.32794,31.39533
4,24/03/2021 03:52,32.32793,31.39523
4,24/03/2021 04:13,32.3279,31.39507
4,24/03/2021 04:34,32.32791,31.39518
4,24/03/2021 04:55,32.32795,31.39524
4,24/03/2021 05:17,32.32799,31.39506
4,24/03/2021 05:38,32.328,31.39507
4,24/03/2021 05:59,32.32799,31.39527
4,24/03/2021 06:20,32.32796,31.39519
4,24/03/2021 06:41,32.32795,31.39538
4,24/03/2021 07:02,32.32798,31.39532
4,24/03/2021 07:24,32.32801,31.39524
4,24/03/2021 08:27,32.32799,31.39524
4,24/03/2021 08:48,32.32799,31.3948
4,24/03/2021 09:09,32.328,31.39501
4,24/03/2021 09:30,32.32801,31.39494
4,24/03/2021 09:52,32.32805,31.39497
4,24/03/2021 10:13,32.32796,31.39458
4,24/03/2021 10:34,32.32803,31.39489
4,24/03/2021 10:58,32.32798,31.39442
